,0
0,0.0629139647985
1,0.0547193581342
2,0.0475921071611
3,0.0413931877359
4,0.0360016837484
5,0.0313124285328
6,0.0272339534859
7,0.0236867038817
8,0.0206014870764
9,0.0179181228372
10,0.0155842694664
11,0.0135544028249
12,0.0117889283381
13,0.010253408664
14,0.00891789195892
15,0.00775632763672
16,0.00674605822601
17,0.00586737741368
18,0.00510314565353
19,0.00443845584237
20,0.00386034254206
21,0.00335752907572
22,0.00292020756487
23,0.00253984761698
24,0.00220902993167
25,0.00192130157982
26,0.00167105013278
27,0.00145339418631
28,0.00126408814395
29,0.00109943940242
30,0.000956236323698
31,0.000831685588803
32,0.000723357711353
33,0.000629139647985
34,0.000547193581342
35,0.000475921071611
36,0.000413931877359
37,0.000360016837484
38,0.000313124285328
39,0.000272339534859
40,0.000236867038817
41,0.000206014870764
42,0.000179181228372
43,0.000155842694664
44,0.000135544028249
45,0.000117889283381
46,0.00010253408664
47,8.91789195892e-05
48,7.75632763672e-05
49,6.74605822601e-05
50,5.86737741368e-05
51,5.10314565353e-05
52,4.43845584237e-05
53,3.86034254206e-05
54,3.35752907572e-05
55,2.92020756487e-05
56,2.53984761698e-05
57,2.20902993167e-05
58,1.92130157982e-05
59,1.67105013278e-05
60,1.45339418631e-05
61,1.26408814395e-05
62,1.09943940242e-05
63,9.56236323698e-06
64,8.31685588803e-06
65,7.23357711353e-06
66,6.29139647985e-06
67,5.47193581342e-06
68,4.75921071611e-06
69,4.13931877359e-06
70,3.60016837484e-06
71,3.13124285328e-06
72,2.72339534859e-06
73,2.36867038817e-06
74,2.06014870764e-06
75,1.79181228372e-06
76,1.55842694664e-06
77,1.35544028249e-06
78,1.17889283381e-06
79,1.0253408664e-06
80,8.91789195892e-07
81,7.75632763672e-07
82,6.74605822601e-07
83,5.86737741368e-07
84,5.10314565353e-07
85,4.43845584237e-07
86,3.86034254206e-07
87,3.35752907572e-07
88,2.92020756487e-07
89,2.53984761698e-07
90,2.20902993167e-07
91,1.92130157982e-07
92,1.67105013278e-07
93,1.45339418631e-07
94,1.26408814395e-07
95,1.09943940242e-07
96,9.56236323698e-08
97,8.31685588803e-08
98,7.23357711353e-08
99,6.29139647985e-08
